01_latin_order,02_latin_tokens,03_eng_direct_tokens,1656_en,1743_en,1872_en,1886_en,1916_en,1936_en,full_list,nr_of_words,uniques
213.0,aeterno,"forever, eternal",lasting,everlasting,eternal,never-healing,eternal,eternal,"['lasting', 'everlasting', 'eternal', 'never-healing', 'eternal', 'eternal']",6.0,4.0
214.0,devictus,"defeated, conquered",vanquished,bound,bound,vanquished,o'ermastered,conquered,"['vanquished', 'bound', 'bound', 'vanquished', ""o'ermastered"", 'conquered']",6.0,4.0
242.0,corpore,body,arms,limbs,form,body,body,limbs,"['arms', 'limbs', 'form', 'body', 'body', 'limbs']",6.0,4.0
269.0,memmi,Memmii,memmius,memmius,Memmian,memmius,memmian,memmius’s,"['memmius', 'memmius', 'Memmian', 'memmius', 'memmian', 'memmius’s']",6.0,4.0
270.0,clara,bright,brave,noble,stock,illustrious,illustrious,noble,"['brave', 'noble', 'stock', 'illustrious', 'illustrious', 'noble']",6.0,4.0
276.0,desse,"missing, in need, wanting",wanting,distress,wanting,wanting,neglect,fail,"['wanting', 'distress', 'wanting', 'wanting', 'neglect', 'fail']",6.0,4.0
74.0,significant,"to show, signify",,,herald,signs,foretoken,,"[0, 0, 'herald', 'signs', 'foretoken', 0]",3.0,3.0
100.0,denique,Finally,lastly,,then,,thence,,"['lastly', 0, 'then', 0, 'thence', 0]",3.0,3.0
133.0,quicquam,anything,,,aught,nothing,naught,,"[0, 0, 'aught', 'nothing', 'naught', 0]",3.0,3.0
137.0,oras,edges,,,,borders,shores,coasts,"[0, 0, 0, 'borders', 'shores', 'coasts']",3.0,3.0
140.0,fit,becomes,,can,be,grows,,,"[0, 'can', 'be', 'grows', 0, 0]",3.0,3.0
167.0,ornatum," prepare, ornate, decorated, supply",,adorn,adorned,,,bright,"[0, 'adorn', 'adorned', 0, 0, 'bright']",3.0,3.0
222.0,reposta,"put down, to place, deposit",lyes,,turned,thrown,,,"['lyes', 0, 'turned', 'thrown', 0, 0]",3.0,3.0
234.0,resupini,"bent back, lying on back, supine, reclined",,supinely,,backward,,back,"[0, 'supinely', 0, 'backward', 0, 'back']",3.0,3.0
239.0,diva,goddess,,god,,lady,,goddess,"[0, 'god', 0, 'lady', 0, 'goddess']",3.0,3.0
